GOT1
CCL17
CCR5
TIMP1
MMP12
ARG1
SLC11A2
TIMP2
IGF1
FCGR2B
IL1R1
ENO1
HGF
SRC
IRS2
GPX3
CTSL
SPHK1
ATP2A2
MIF
BNIP3
NR1D1
ABCA1
CXCL16
HERPUD1
BCL2L1
GADD45B
ABCC1
JAG1
HK2
PTGS1
ABCB4
IL7R
PLAU
FN1
ABCC3
MMP2
CXCL1
MMP13
FSCN1
EPHX1
MSR1
EMP1
TNF
SFTPB
CD163
ANGPTL4
CSF1
CLDN1
PDIA3
HSP90B1
ATF5
IL16
SPP1
CASP6
SOCS1
SLC31A1
ACE
TM6SF1
IL1RN
ATP5B
DNAJC3
FABP1
CDH1
TFRC
ALOX5
IL1A
SERPINE1
GAL
QSOX1
C3
DGAT1
HSPA9
NCF4
FGF1
CDK4
MTHFD2
SLCO2B1
SHMT2
TXNIP
HSPA5
AHR
INHBA
ATF4
MAP3K5
UCP2
CYBB
VAT1
PRKCD
IL18
DHRS3
RAF1
MX1
ODC1
HBEGF
TGFB2
CDC25B
GLUL
GBP3
HSPD1
ITGAL
GSTM1
FMO5
PDK4
BCL6
CAT
HSD11B1
BCL2L11
IL1B
CYCS
TICAM1
CEBPD
IFIT2
LPIN1
DDIT3
CTSK
ITGAX
IL6
STAT2
CD83
ALOX5AP
CKS1B
CHAC1
ATF3
CH25H
IGF1R
CTSS
JAK2
FYN
EPOR
TNFSF10
GPNMB
FBP1
CASP4
RGS2
TYMS
MRPS18B
FOSL2
E2F2
UCP3
G0S2
CFLAR
TRIB3
CCR2
KLF4
SOCS3
TLR2
SOD2
CXCR2
BID
CCNE1
NFIL3
GBP2
MMP8
TSC22D1
PECAM1
ID2
HSPE1
CAV1
TLR3
IFIT1
CXCR4
NFKBIE
PHLDA1
CKS2
NOXO1
BCL3
MYO5A
SMAD7
S100A8
KLF2
MXD1
IGFBP6
NDRG1
CCL2
MGST2
SLC30A1
CD69
PRNP
LRR1
SP4
CD40
CX3CR1
CXCL3
EREG
IER3
IL33
BTG2
ERBB2
SIK1
SORBS1
PRKCB
RARB
CCL7
S100A9
EDN1
NQO1
DUSP6
SPON1
MMP9
CLEC4E
IL1R2
PLK2
COL7A1
S100A4
GSTA3
MAPT
AREG
CD74
CCR1
GSR
CCND2
ENC1
FABP5
PTP4A1
SFTPA1
IL7
SFTPD
NOTCH1
FABP4
WNT5A
STAR
CP
MEF2C
LIF
GATM
TBC1D16
HFE
ITM2C
ADAM8
LGMN
ADAMTSL5
CFP
ARHGAP10
ITGA6
SELENOP
SLC30A4
TMED9
AA467197
PDP1
HTRA3
PLA2G12A
ARRB2
ZFP395
DOK2
ADAMTSL4
TENT5C
SEC14L1
GFRA2
RAB3IL1
SERPINA3G
LPCAT2
LPXN
METTL1
SELENOS
DPEP2
ST6GALNAC4
ANKRD55
CLYBL
MYDGF
SNX8
MGL2
FADS3
SLC43A2
TNIP3
HHEX
RAB7B
TOMM40
RNASE2A
NME6
PPA1
C5AR1
WFS1
TSPO
LRG1
SLC16A14
COX5B
TBRG4
SSR4
EIF1A
MCFD2
SMURF1
EPB41L2
CDK20
KCNN4
SLAMF7
GPR84
OAS1G
FCGR1
SLC27A1
LAG3
GPR34
CDR2
SLC41A3
MS4A6D
SLC25A19
FGD6
WDR46
BAG3
NDUFS3
ITSN1
COX8A
ANPEP
SLC13A3
ITM2B
TREM2
GCSH
PGAM1
BST2
ADAM15
FZD5
FRMD4B
ENHO
TTC39C
IL18BP
PITPNC1
MRPS28
OSBPL11
AOPEP
PMEPA1
TRP53I13
WWP1
PDXK
ARHGAP18
BLNK
TPCN2
LDLRAP1
MMADHC
ORC5
MRPS5
ARHGAP22
ATP2B4
LTBP2
KCNK13
C4B
SMIM5
RGL1
FAM20C
PLPP2
RIN2
TSPAN4
BOLA2
SDHB
ARRDC3
TIMM17A
HTRA4
PHF11D
CLEC4D
MS4A7
NDUFB9
COX10
MICOS10
NAA20
MTURN
TNFSF13B
ZKSCAN17
CHST7
RTL5
ANXA9
TMX4
CPEB2
TRMT61A
PF4
GRAMD1B
BBS2
CHST1
OPHN1
ATP6V0C
GALNT12
SPSB4
SLC44A1
SS18L2
SDR42E1
RAB38
RAB3A
DGKZ
RAPGEF5
ACCS
CAMK2A
SH3PXD2A
CISD3
CAVIN1
FBXL4
DCSTAMP
CALD1
TRPM3
ARHGEF17
PDSS1
NIM1K
RCN3
SOX4
MDGA1
ZBTB46
SAMD4
ECM1
PIANP
VCPKMT
LACC1
TCIM
FMNL2
PORCN
0610009L18RIK
PGF
EIF5A2
ANKRD9
PTCHD1
CCL12
FAM72A
SPEF2
IGF2R
FHL1
DPYSL3
BASP1
CCDC122
A4GALT
TMEM221
CD276
CD300LD3
PDPN
SCN1B
IL21R
NEDD4L
ZC3H12C
GDPD5
TSKU
PSD3
SMARCD3
MICALL2
SLC22A4
FLRT3
KIF19A
PTPRS
HRH1
AKR1B8
SERPINA3F
HNMT
ADA
ABLIM1
KLC3
CACNB3
GM12216
RETNLA
TMCO4
RPS2
NDUFB8
KLRB1B
PTGER4
MRAS
TRPV4
RAP1GAP
SCCPDH
COL14A1
PAM
PAFAH2
NLGN2
FGFR1
KIF5C
SLC26A11
AMOTL1
NCS1
1810021B22RIK
