Haao
Car4
Gstt3
Naglu
Sult2b1
Pld3
Man1a
Srm
Odc1
Galns
Pgs1
Acsl1
Arg1
Adcy3
Dglucy
Pfkp
Acot2
Naga
Oplah
Acat2
Impa2
Fads2
Lipf
Hadha
Glul
Hsd17b12
Gatm
Chac1
Hacd4
H6pd
Ppat
Dck
Acads
Etnk1
Pccb
Alas1
Gcsh
G6pc3
Alg8
Fut7
Lap3
Elovl6
Sgms2
Cox6b2
Plpp2
Gda
Fdps
Bckdha
Ipmk
Impdh2
Dgkd
